"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1"
"https://leon-international.com/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FBrands%2FJohn_Deere_logo.svg.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/specialized/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/specialized/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/air-lifting-balloon/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/air-lifting-balloon/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/metal-stitching/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/metal-stitching/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/boiler-repair/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/boiler-repair/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2Fservices%2Fservice-7.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FProjects%2Floading_arms_repair.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/mtu-parts/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/mtu-parts/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FBrands%2FWauk.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/Brands/b/images%20(1).png","image/png","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/static/chunks/961311cbebbffb6d.js","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FBrands%2FDeutz_Logo.svg.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FBrands%2FBergen-Logo-WHITE.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2Fimages%2Fclients%2Fhilal.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FProjects%2Fmain_engine_overhaul.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/privacy-policy/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/privacy-policy/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FProjects%2Ffender_repair.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2Fimages%2Fclients%2Fdipitt.png&w=3840&q=75","image/png","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/industrial-coatings/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/industrial-coatings/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/food-supply-chain-support/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://leon-international.com/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/Brands/b/images%20(2).png","image/png","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/mechanical-repair/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/mechanical-repair/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/man-parts/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://leon-international.com/man-parts/","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FProducts%2Felectrical_equipment.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
"https://leon-international.com/_next/image/?url=%2FProducts%2Fnavigation_systems.webp&w=3840&q=75","image/jpeg","200","OK","1.1","Indexable","","","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1"
